TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
5/21/2024,69,82,56,14,17,43,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/22/2024,69,83,56,12,18,42,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/23/2024,68,76,56,11,15,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/24/2024,65,73,56,13,13,44,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/25/2024,57,59,56,9,14,41,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/26/2024,65,71,57,15,16,66,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
5/27/2024,65,76,56,14,16,52,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
5/28/2024,70,82,56,20,14,38,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/29/2024,70,75,55,17,14,37,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/30/2024,,,,,,,,,,,,,
5/31/2024,,,,,,,,,,,,,
6/1/2024,,,,,,,,,,,,,
6/2/2024,,,,,,,,,,,,,
6/3/2024,56,60,55,12,13,33,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/4/2024,62,77,55,18,13,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/5/2024,69,79,55,17,17,43,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/6/2024,59,63,56,12,17,43,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/7/2024,67,77,56,15,18,34,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/8/2024,71,83,56,17,17,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/9/2024,71,80,56,15,18,35,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/10/2024,68,72,56,18,14,46,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/11/2024,64,66,55,16,15,41,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/12/2024,54,58,56,16,12,52,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/13/2024,43,76,56,16,8,58,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/14/2024,53,81,57,17,11,97,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/15/2024,50,74,57,12,13,69,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
6/16/2024,42,71,56,14,13,41,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/17/2024,53,85,57,14,14,35,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/18/2024,99,152,57,27,14,80,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,SEDANG,TIDAK SEHAT
6/19/2024,97,133,57,19,13,68,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,SEDANG,TIDAK SEHAT
6/20/2024,54,89,58,10,18,46,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
6/21/2024,65,106,58,13,18,43,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
6/22/2024,64,103,57,13,19,41,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
6/23/2024,62,103,58,12,16,37,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
6/24/2024,58,104,58,12,16,38,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
6/25/2024,64,98,57,13,14,48,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
