name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.207349, 106.753187",9/2/2022,32.9,24,28.1,38.8,24,31.1,24,79.3,2.467,100,12.5,rain,0,0,29.5,22.7,85.3,1010,51.1,6.5,251.9,21.8,9,30,2022-09-02T05:52:57,2022-09-02T17:52:46,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/3/2022,33,24,27.7,39.3,24,29.9,23,76.8,0.105,100,8.33,rain,0,0,48.2,29.5,243,1010.3,47.3,7.5,266.9,23.1,9,30,2022-09-03T05:52:28,2022-09-03T17:52:37,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",9/4/2022,33,25,28.1,38.1,25,30.7,23.1,75.2,1,100,8.33,rain,0,0,26.3,29.5,231.9,1009.8,61.6,7.8,269.8,23.3,10,30,2022-09-04T05:51:58,2022-09-04T17:52:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",9/5/2022,33,25,28.9,38,25,32.6,23.8,75.4,0.182,100,4.17,rain,0,0,25.6,22.3,38.8,1010.1,57.1,6.4,242.6,21,9,30,2022-09-05T05:51:29,2022-09-05T17:52:16,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/6/2022,32.9,26,28.8,39.2,26,32.8,24.3,77.3,8.118,100,20.83,rain,0,0,24.8,27.7,60.7,1009.6,57.4,7.2,221.7,19.2,8,30,2022-09-06T05:50:59,2022-09-06T17:52:06,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/7/2022,31.4,24,27.3,36.5,24,30,24.3,84.4,14.247,100,25,rain,0,0,24.1,24.1,252.6,1010.7,61,5.6,238.4,20.4,8,30,2022-09-07T05:50:29,2022-09-07T17:51:55,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/8/2022,27.6,25,25.9,31.2,25,26.4,24,89.7,6.683,100,20.83,rain,0,0,24.5,13,241.6,1012.2,62.4,4.9,127.8,11.1,6,10,2022-09-08T05:49:59,2022-09-08T17:51:45,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/9/2022,30.4,24,26.2,34.9,24,27.9,23.6,86.5,39.638,100,16.67,rain,0,0,25.6,18.4,235.5,1012.2,59.3,4.9,195.8,16.9,7,10,2022-09-09T05:49:29,2022-09-09T17:51:34,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/10/2022,30,24,26.1,36.2,24,27.6,23.8,88,11.589,100,25,rain,0,0,38.9,24.1,241.2,1011.6,62.6,5.5,148.1,12.9,8,30,2022-09-10T05:48:58,2022-09-10T17:51:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",9/11/2022,32,24,27.5,37.9,24,30.2,23.8,81.5,12.521,100,12.5,rain,0,0,20.9,20.5,30.5,1010.1,52.3,6.8,244.5,21.2,9,30,2022-09-11T05:48:27,2022-09-11T17:51:12,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
