datetime,station_name,ispu_pm25
5/11/2022,bundaran_hi,49.45
5/11/2022,jagakarsa,59.75
5/11/2022,kebun_jeruk,62.85
5/11/2022,kelapa_gading,57.43
5/11/2022,lubang_buaya,57.45
5/12/2022,bundaran_hi,72.45
5/12/2022,jagakarsa,85.45
5/12/2022,kebun_jeruk,84.9
5/12/2022,kelapa_gading,62.39
5/12/2022,lubang_buaya,67.6
5/13/2022,bundaran_hi,54.23
5/13/2022,jagakarsa,52
5/13/2022,kebun_jeruk,52.36
5/13/2022,kelapa_gading,42.9
5/13/2022,lubang_buaya,50.27
5/14/2022,bundaran_hi,67.27
5/14/2022,jagakarsa,79.09
5/14/2022,kebun_jeruk,71.5
5/14/2022,kelapa_gading,50.25
5/14/2022,lubang_buaya,70.82
5/15/2022,bundaran_hi,88.87
5/15/2022,jagakarsa,103.48
5/15/2022,kebun_jeruk,105.04
5/15/2022,kelapa_gading,75.92
5/15/2022,lubang_buaya,95.83
5/16/2022,bundaran_hi,73.5
5/16/2022,jagakarsa,87.05
5/16/2022,kebun_jeruk,92
5/16/2022,kelapa_gading,66.19
5/16/2022,lubang_buaya,73.77
5/17/2022,bundaran_hi,66.8
5/17/2022,jagakarsa,86.67
5/17/2022,kebun_jeruk,85.2
5/17/2022,kelapa_gading,58.91
5/17/2022,lubang_buaya,71.13
5/18/2022,bundaran_hi,71.35
5/18/2022,jagakarsa,73.4
5/18/2022,kebun_jeruk,83.1
5/18/2022,kelapa_gading,61.23
5/18/2022,lubang_buaya,76.55
5/19/2022,bundaran_hi,83.31
5/19/2022,jagakarsa,85.31
5/19/2022,kebun_jeruk,99.69
5/19/2022,kelapa_gading,69.87
5/19/2022,lubang_buaya,88.81
5/20/2022,bundaran_hi,75.5
5/20/2022,jagakarsa,92
5/20/2022,kebun_jeruk,86.75
5/20/2022,kelapa_gading,75.58
5/20/2022,lubang_buaya,87.62
5/21/2022,bundaran_hi,63
5/21/2022,jagakarsa,75.69
5/21/2022,kebun_jeruk,79
5/21/2022,kelapa_gading,58.65
5/21/2022,lubang_buaya,63.56
5/22/2022,bundaran_hi,68.32
5/22/2022,jagakarsa,75.79
5/22/2022,kebun_jeruk,74.37
5/22/2022,kelapa_gading,56.66
5/22/2022,lubang_buaya,65.26
5/23/2022,bundaran_hi,70
5/23/2022,jagakarsa,91.95
5/23/2022,kebun_jeruk,64.1
5/23/2022,kelapa_gading,65.95
5/23/2022,lubang_buaya,76.67
5/24/2022,bundaran_hi,64.71
5/24/2022,jagakarsa,76.24
5/24/2022,kebun_jeruk,50.33
5/24/2022,kelapa_gading,63.51
5/24/2022,lubang_buaya,66.57
5/25/2022,bundaran_hi,78.79
5/25/2022,jagakarsa,92.05
5/25/2022,kebun_jeruk,53.74
5/25/2022,kelapa_gading,69.27
5/25/2022,lubang_buaya,88.47
5/26/2022,bundaran_hi,66.38
5/26/2022,jagakarsa,84.81
